Datetime,server name,ApplicationName,max CPU utilization,CPUUtilizationDate,max Memory Utilization,MemoryUtilizationDate,Wait type,Wait time(ms),Most expensive query by cpu,Most expensive query by cpu  URL,Most expensive query by physical reads,Most expensive query by physical reads URL ,JobsURL,Cach Hit Ratio
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,PAGEIOLATCH_SH,1275188,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ36PV,EDW,7,02:10.6,100,09:54.9,IO_COMPLETION,16409,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/0cd4b5cb-cb56-4eb7-9303-1be2f7e3b389?experience=power-bi&subfolderId=30544,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d15ac472-3453-46cf-b4e1-a6bfdd3afffa?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/f6d6ac85-beb8-4ab6-b74b-80daffb16522?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ36PV,EDW,7,02:10.6,100,09:54.9,LATCH_EX,38845,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/0cd4b5cb-cb56-4eb7-9303-1be2f7e3b389?experience=power-bi&subfolderId=30544,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d15ac472-3453-46cf-b4e1-a6bfdd3afffa?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/f6d6ac85-beb8-4ab6-b74b-80daffb16522?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ36PV,EDW,7,02:10.6,100,09:54.9,PAGEIOLATCH_SH,37960,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/0cd4b5cb-cb56-4eb7-9303-1be2f7e3b389?experience=power-bi&subfolderId=30544,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d15ac472-3453-46cf-b4e1-a6bfdd3afffa?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/f6d6ac85-beb8-4ab6-b74b-80daffb16522?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ36PV,EDW,7,02:10.6,100,09:54.9,PREEMPTIVE_XE_DISPATCHER,153710,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/0cd4b5cb-cb56-4eb7-9303-1be2f7e3b389?experience=power-bi&subfolderId=30544,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d15ac472-3453-46cf-b4e1-a6bfdd3afffa?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/f6d6ac85-beb8-4ab6-b74b-80daffb16522?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ36PV,EDW,7,02:10.6,100,09:54.9,QDS_ASYNC_QUEUE,153154,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/0cd4b5cb-cb56-4eb7-9303-1be2f7e3b389?experience=power-bi&subfolderId=30544,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d15ac472-3453-46cf-b4e1-a6bfdd3afffa?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/f6d6ac85-beb8-4ab6-b74b-80daffb16522?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ36PV,EDW,7,02:10.6,100,09:54.9,SOS_SCHEDULER_YIELD,15556,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/0cd4b5cb-cb56-4eb7-9303-1be2f7e3b389?experience=power-bi&subfolderId=30544,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d15ac472-3453-46cf-b4e1-a6bfdd3afffa?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/f6d6ac85-beb8-4ab6-b74b-80daffb16522?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ36PV,EDW,7,02:10.6,100,09:54.9,XE_FILE_TARGET_TVF,20875,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/0cd4b5cb-cb56-4eb7-9303-1be2f7e3b389?experience=power-bi&subfolderId=30544,"delete from
[dbo].[STG_INVESTRAN_BATCH_REFERENCE",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d15ac472-3453-46cf-b4e1-a6bfdd3afffa?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/f6d6ac85-beb8-4ab6-b74b-80daffb16522?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,PREEMPTIVE_OLEDBOPS,323304,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,PREEMPTIVE_XE_DISPATCHER,841777,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,QDS_ASYNC_QUEUE,856754,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,SOS_SCHEDULER_YIELD,415397,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,WRITELOG,370274,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,XE_FILE_TARGET_TVF,317225,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ55PV,"CAPIQ,GlobalResearch",3,02:13.1,100,09:59.3,ASYNC_IO_COMPLETION,77435,"SELECT event_data FROM sys.fn_xe_file_target_read_file('L:\ProgramData\ApexSQL\ApexSQLAudit\Auditing\MSSQLSERVER\ActiveSessions\ApexSQLAuditDB_017CAPIQ_Target_Prod_0_133895177058760000.xel', null, null, null",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/87893900-ba9d-442c-b8cd-152f8a5d1e06?experience=power-bi&subfolderId=30544,"SELECT @ParamFragmentationLevel = MAX(avg_fragmentation_in_percent), @ParamPageCount = SUM(page_count) FROM sys.dm_db_index_physical_stats(@ParamDatabaseID, @ParamObjectID, @ParamIndexID, @ParamPartitionNumber, 'LIMITED') WHERE alloc_unit_type_desc = 'IN_",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/b9a50294-f02b-4ad2-a999-be40808417cc?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/efcd50be-b9c1-4247-877a-508d2e8a4c34?experience=power-bi&subfolderId=30544,100
