Message,ID,ProviderName,LogName,MachineName,TimeCreated,ContainerLog,LevelDisplayName,CreatedDate
The processing of Group Policy failed. Windows attempted to retrieve new Group Policy settings for this user or computer. Look in the details tab for error code and description. Windows will automatically retry this operation at the next refresh cycle. Computers joined to the domain must have proper name resolution and network connectivity to a domain controller for discovery of new Group Policy objects and settings. An event will be logged when Group Policy is successful.,1030,Microsoft-Windows-GroupPolicy,System,AWSDBSQ50PV,2025-11-14 23:39:33,System,Error,2025-11-14 09:37:48.463000000
Current server is unaccessible switching to a failover host; current='hc1siem20p.thecarlylegroup.local' failover='dr1siem22p.thecarlylegroup.local',206,syslog-ng Agent,Application,HC1DBSQ53PV,2025-11-14 03:13:23,Application,Warning,2025-11-14 09:37:48.463000000
1 remote calls to the SAM database have been denied in the past 900 seconds throttling window.For more information please see http://go.microsoft.com/fwlink/?LinkId=787651.,16969,Microsoft-Windows-Directory-Services-SAM,System,HC1DBSQ27PV,2025-11-14 19:02:37,System,Warning,2025-11-14 09:37:48.463000000
An TLS 1.2 connection request was received from a remote client application but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.,36874,Schannel,System,AWSDBSQ51PV,2025-11-14 22:10:13,System,Error,2025-11-14 09:37:48.467000000
SQLVDI: Loc=TriggerAbort. Desc=invoked. ErrorCode=(0). Process=6936. Thread=11644. Server. Instance=MSSQLSERVER. VD=Global\VNBU0-3888-17700-1761476157_SQLVDIMemoryName_0. ,1,SQLVDI,Application,HC1DBSQ64PV,2025-11-14 06:56:07,Application,Error,2025-11-14 09:37:48.467000000
Volume Shadow Copy Service error: Unexpected error calling routine ConvertStringSidToSid(S-1-5-21-515967899-1580436667-839522115-12197.bak).  hr = 0x80070539 The security ID structure is invalid.. Operation:   OnIdentify event   Gathering Writer DataContext:   Execution Context: Shadow Copy Optimization Writer   Writer Class Id: {4dc3bdd4-ab48-4d07-adb0-3bee2926fd7f}   Writer Name: Shadow Copy Optimization Writer   Writer Instance ID: {ff158de9-ff95-486c-88f3-03a63d6d816c},8193,VSS,Application,AWSDBSQ62PV,2025-11-14 23:51:39,Application,Error,2025-11-14 09:37:48.467000000
Windows failed to apply the Group Policy Local Users and Groups settings. Group Policy Local Users and Groups settings might have its own log file. Please click on the "More information" link.,1085,Microsoft-Windows-GroupPolicy,System,HC1DBSQ62PV,2025-11-14 19:01:12,System,Warning,2025-11-14 09:37:48.470000000
The CB Defense service terminated with the following error: This application must be restarted.,7031,Service Control Manager,System,HC1DBSQ90PV,2025-11-14 23:03:43,System,Error,2025-11-14 09:37:48.470000000
Product: CrowdStrike Sensor Platform -- Error 1923. Service 'CrowdStrike Falcon Sensor Service' (CSFalconService) could not be installed. Verify that you have sufficient privileges to install system services.,11923,MsiInstaller,Application,HC1DBSQ45PV,2025-11-14 03:13:23,application,Error,2025-11-14 09:37:48.470000000
Configuring the Page file for crash dump failed. Make sure there is a page file on the boot partition and that is large enough to contain all physical memory.,49,volmgr,System,HC1DBSQ64PV,2025-11-14 00:45:19,System,Error,2025-11-14 09:37:48.470000000
1 remote calls to the SAM database have been denied in the past 900 seconds throttling window.For more information please see http://go.microsoft.com/fwlink/?LinkId=787651.,16969,Microsoft-Windows-Directory-Services-SAM,System,HC1DBSQ55Pv,2025-11-14 22:28:09,system,Warning,2025-11-14 09:37:48.470000000
The COM+ Event System failed to fire the DisplayUnlock method on event class {D5978630-5B9F-11D1-8DD2-00AA004ABD5E} for publisher  and subscriber . The display name of the subscription is "Visual Studio ISensLogon Subscription". The HRESULT was 8001010a.,4354,Microsoft-Windows-EventSystem,Application,HC1DBSQ64PV,2025-11-14 19:17:55,Application,Warning,2025-11-14 09:37:48.473000000
Certificate for local system with Thumbprint ee f2 ea f2 4c cb f6 0d ae 7a d8 ed 1c f0 fc 8e e2 0a fe 00 is about to expire or already expired.,64,Microsoft-Windows-CertificateServicesClient-AutoEnrollment,Application,HC1DBSQ54PV,2025-11-14 19:48:45,Application,Warning,2025-11-14 09:37:48.473000000
Windows Management Instrumentation has stopped WMIPRVSE.EXE because a quota reached a warning value. Quota: HandleCount  Value: 4676 Maximum value: 4096 WMIPRVSE PID: 16944 Providers hosted in this process: C:\Windows\CCM\SensorWmiProvider.dll,5612,Microsoft-Windows-WMI,Application,HC1DBSQ64PV,2025-11-14 20:46:40,Application,Warning,2025-11-14 09:37:48.473000000
Current server is unaccessible switching to a failover host; current='hc1siem20p.thecarlylegroup.local' failover='dr1siem22p.thecarlylegroup.local',206,syslog-ng Agent,Application,HC1DBSQ62PV,2025-11-14 00:09:20,Application,Warning,2025-11-14 09:37:48.473000000
The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID {21B896BF-008D-4D01-A27B-26061B960DD7} and APPID {03E09F3B-DCE4-44FE-A9CF-82D050827E1C} to the user LX1APDS01PV\Migrationadmin SID (S-1-5-21-324961657-632912395-1552108596-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.,10016,Microsoft-Windows-DistributedCOM,System,LX1APDS01PV,2025-11-14 14:20:19,System,Warning,2025-11-14 09:37:48.473000000
Time Provider NtpClient: No valid response has been received from domain controller DC1DCCG2PV.thecarlylegroup.local after 8 attempts to contact it. This domain controller will be discarded as a time source and NtpClient will attempt to discover a new domain controller from which to synchronize. The error was: The peer is unreachable. ,50,Microsoft-Windows-Time-Service,System,AWSDBSQ48PV,2025-11-14 23:43:58,System,Warning,2025-11-14 09:37:48.477000000
The server Microsoft.Windows.Cortana_1.11.6.17763_neutral_neutral_cw5n1h2txyewy!CortanaUI.AppXd4tad4d57t4wtdbnnmb8v2xtzym8c1n8.mca did not register with DCOM within the required timeout.,10010,Microsoft-Windows-DistributedCOM,System,HC1DBSQ35PV,2025-11-14 23:03:16,System,Error,2025-11-14 09:37:48.477000000
SQLVDI: Loc=TriggerAbort. Desc=invoked. ErrorCode=(0). Process=5072. Thread=9868. Server. Instance=MSSQLSERVER. VD=Global\VNBU0-11172-536-1761476195_SQLVDIMemoryName_0. ,1,SQLVDI,Application,HC1DBSQ27PV,2025-11-14 06:56:51,Application,Error,2025-11-14 09:37:48.477000000
Configuring the Page file for crash dump failed. Make sure there is a page file on the boot partition and that is large enough to contain all physical memory.,49,volmgr,System,HC1DBSQ39PV,2025-11-14 05:16:54,System,Error,2025-11-14 09:37:48.477000000
This computer was not able to set up a secure session with a domain controller in domain CARLYLEDC due to the following: We can't sign you in with this credential because your domain isn't available. Make sure your device is connected to your organization's network and try again. If you previously signed in on this device with another credential you can sign in with that credential. This may lead to authentication problems. Make sure that this computer is connected to the network. If the problem persists please contact your domain administrator.  ADDITIONAL INFO If this computer is a domain controller for the specified domain it sets up the secure session to the primary domain controller emulator in the specified domain. Otherwise this computer sets up the secure session to any domain controller in the specified domain.,5719,NETLOGON,System,LX1APDS01PV,2025-11-14 15:30:50,System,Error,2025-11-14 09:37:48.480000000
Certificate for local system with Thumbprint 81 14 97 34 e0 1d 29 92 86 9d 2f 6e 0f 40 bf 5b b9 4e ae fc is about to expire or already expired.,64,Microsoft-Windows-CertificateServicesClient-AutoEnrollment,Application,HC1DBSQ27PV,2025-11-14 22:02:29,Application,Warning,2025-11-14 09:37:48.480000000
Microsoft Windows Server has detected that NTLM authentication is presently being used between clients and this server. This event occurs once per boot of the server on the first time a client uses NTLM with this server. NTLM is a weaker authentication mechanism. Please check:       Which applications are using NTLM authentication?      Are there configuration issues preventing the use of stronger authentication such as Kerberos authentication?      If NTLM must be supported is Extended Protection configured? Details on how to complete these checks can be found at http://go.microsoft.com/fwlink/?LinkId=225699.,6038,LsaSrv,System,HC1DBSQ53PV,2025-11-14 01:11:53,System,Warning,2025-11-14 09:37:48.480000000
The COM+ Event System failed to fire the StartShell method on event class {D5978630-5B9F-11D1-8DD2-00AA004ABD5E} for publisher  and subscriber . The display name of the subscription is "Visual Studio ISensLogon Subscription". The HRESULT was 8001010a.,4354,Microsoft-Windows-EventSystem,Application,HC1DBSQ55Pv,2025-11-14 12:12:10,application,Warning,2025-11-14 09:37:48.480000000
Unable to load user-specified certificate [Cert Hash(sha1) "71E0DC1FB32BD303F59CC21CCDDE7B565C298685"]. The server will not accept a connection. You should verify that the certificate is correctly installed. See "Configuring Certificate for Use by SSL" in Books Online.,33555,MSSQLSERVER,Application,LX1APDS01PV,2025-11-14 17:32:44,Application,Error,2025-11-14 09:37:48.483000000
License Activation (slui.exe) failed with the following error code:hr=0x80004005Command-line arguments:RuleId=eeba1977-569e-4571-b639-7623d8bfecc0;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=9bd77860-9b31-4b7b-96ad-2564017315bf;NotificationInterval=1440;Trigger=UserLogon;SessionId=2,8198,Microsoft-Windows-Security-SPP,Application,LX1APDS02PV,2025-11-14 14:24:47,Application,Error,2025-11-14 09:37:48.480000000
Microsoft Windows Server has detected that NTLM authentication is presently being used between clients and this server. This event occurs once per boot of the server on the first time a client uses NTLM with this server. NTLM is a weaker authentication mechanism. Please check:       Which applications are using NTLM authentication?      Are there configuration issues preventing the use of stronger authentication such as Kerberos authentication?      If NTLM must be supported is Extended Protection configured? Details on how to complete these checks can be found at http://go.microsoft.com/fwlink/?LinkId=225699.,6038,LsaSrv,System,HC1DBSQ60PV1,2025-11-14 17:49:14,System,Warning,2025-11-14 09:37:48.483000000
The Windows Update service did not shut down properly after receiving a preshutdown control.,7043,Service Control Manager,System,HC1DBSQ60PV,2025-11-14 12:11:11,System,Error,2025-11-14 09:37:48.483000000
The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID {21B896BF-008D-4D01-A27B-26061B960DD7} and APPID {03E09F3B-DCE4-44FE-A9CF-82D050827E1C} to the user HC1DBSQ60PV1\migrationadmin SID (S-1-5-21-3330861373-2841203555-3510000864-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.,10016,Microsoft-Windows-DistributedCOM,System,HC1DBSQ60PV1,2025-11-14 11:21:57,System,Warning,2025-11-14 09:37:48.483000000
An TLS 1.2 connection request was received from a remote client application but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed. The SSPI client process is svchost[TermService] (PID: 1368).,36874,Schannel,System,HC1DBSQ60PV1,2025-11-14 21:29:30,System,Error,2025-11-14 09:37:48.487000000
Unable to open the Server service performance object. The first four bytes (DWORD) of the Data section contains the status code.,2004,Microsoft-Windows-PerfNet,Application,AWSDBSQ51PV,2025-11-14 21:00:12,Application,Error,2025-11-14 09:37:48.487000000
The AwsReplicationPostConvertService service has stopped : process exited unexpectedly.,4100,AwsReplicationPostConvertService,Application,LD5AIDBSQ01PV,2025-11-14 02:59:49,Application,Error,2025-11-14 09:37:48.487000000
The attempt by user TCG\PPrakas.cw.SQLAdmin to logoff computer HC1DBSQ60PV failed,1077,User32,System,HC1DBSQ60PV,2025-11-14 14:00:45,System,Warning,2025-11-14 09:37:48.487000000
A service process other than the one launched by the Service Control Manager connected when starting the AmazonCloudWatchAgent service.  The Service Control Manager launched process 5596 and process 9264 connected instead.  Note that if this service is configured to start under a debugger this behavior is expected.,7039,Service Control Manager,System,AWSDBSQ51PV,2025-11-14 21:08:28,System,Warning,2025-11-14 09:37:48.490000000
The COM+ Event System failed to fire the StartShell method on event class {D5978630-5B9F-11D1-8DD2-00AA004ABD5E} for publisher  and subscriber . The display name of the subscription is "Visual Studio ISensLogon Subscription". The HRESULT was 8001010a.,4354,Microsoft-Windows-EventSystem,Application,HC1DBSQ62PV,2025-11-14 03:29:00,Application,Warning,2025-11-14 09:37:48.490000000
Disk 9 has been surprise removed.,157,disk,System,HC1DBSQ60PV,2025-11-14 20:31:30,System,Warning,2025-11-14 09:37:48.490000000
Package "SSAS_Attributes" failed.,12291,SQLISPackage160,Application,HC1DBSQ90PV,2025-11-14 23:02:58,Application,Error,2025-11-14 09:37:48.493000000
Windows failed to apply the Group Policy Local Users and Groups settings. Group Policy Local Users and Groups settings might have its own log file. Please click on the "More information" link.,1085,Microsoft-Windows-GroupPolicy,System,AWSDBSQ51PV,2025-11-14 18:12:40,System,Warning,2025-11-14 09:37:48.493000000
Current server is unaccessible switching to a failover host; current='hc1siem20p.thecarlylegroup.local' failover='dr1siem22p.thecarlylegroup.local',206,syslog-ng Agent,Application,HC1DBSQ45PV,2025-11-14 12:10:55,application,Warning,2025-11-14 09:37:48.493000000
A provider PolicyAgentInstanceProvider has been registered in the Windows Management Instrumentation namespace ROOT\ccm\policy\S_1_5_21_515967899_1580436667_839522115_12357 to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.,63,Microsoft-Windows-WMI,Application,LX1APDS01PV,2025-11-14 02:37:24,Application,Warning,2025-11-14 09:37:48.493000000
The query processor ran out of internal resources and could not produce a query plan. This is a rare event and only expected for extremely complex queries or queries that reference a very large number of tables or partitions. Please simplify the query. If you believe you have received this message in error contact Customer Support Services for more information.,8628,MSSQLSERVER,Application,LD5AIDBSQ01PV,2025-11-14 22:43:21,Application,Error,2025-11-14 09:37:48.493000000
Current server is unaccessible switching to a failover host; current='hc1siem20p.thecarlylegroup.local' failover='dr1siem22p.thecarlylegroup.local',206,syslog-ng Agent,Application,HC1DBSQ70PV,2025-11-14 00:09:20,Application,Warning,2025-11-14 09:37:48.497000000
Microsoft SSIS Service: Registry setting specifying configuration file does not exist. Attempting to load default config file.,274,SQLISService150,Application,AWSDBSQ48PV,2025-11-14 11:16:12,Application,Warning,2025-11-14 09:37:48.497000000
Secure Boot CA/keys need to be updated. This device signature information is included here.DeviceAttributes: BaseBoardManufacturer:Intel Corporation;FirmwareManufacturer:VMware Inc.;FirmwareVersion:VMW71.00V.24265429.B64.2409051419;OEMModelNumber:VMware71;OEMModelBaseBoard:440BX Desktop Reference Platform;OEMModelSystemFamily:;OEMManufacturerName:VMware Inc.;OEMModelSKU:;OSArchitecture:amd64;BucketId: 780863cf2dd4d4a9144cd3e14efeda4c02b8542acf606ed4b2eba0d7215edd56BucketConfidenceLevel: UpdateType: 0HResult: The operation completed successfully.,1801,Microsoft-Windows-TPM-WMI,System,HC1DBSQ60PV,2025-11-14 12:13:57,System,Error,2025-11-14 09:37:48.497000000
The Python service control handler failed. <Error getting traceback - traceback.print_exception() failed %2: %3,11,AwsReplicationLogger,Application,AWSDBSQ51PV,2025-11-14 20:58:19,Application,Error,2025-11-14 09:37:48.500000000
The Open procedure for service "WmiApRpl" in DLL "C:\Windows\system32\wbem\wmiaprpl.dll" failed with error code The device is not ready.. Performance data for this service will not be available.,1008,Microsoft-Windows-Perflib,Application,AWSDBSQ48PV,2025-11-14 11:16:23,Application,Warning,2025-11-14 09:37:48.500000000
Windows Management Instrumentation has stopped WMIPRVSE.EXE because a quota reached a warning value. Quota: HandleCount  Value: 4703 Maximum value: 4096 WMIPRVSE PID: 69592 Providers hosted in this process: C:\Windows\CCM\SensorWmiProvider.dll,5612,Microsoft-Windows-WMI,Application,HC1DBSQ54PV,2025-11-14 22:59:24,Application,Warning,2025-11-14 09:37:48.500000000
Windows has backed up this user profile. Windows will automatically try to use the backup profile the next time this user logs on.,1552,Microsoft-Windows-User Profiles Service,Application,HC1DBSQ35PV,2025-11-14 23:13:47,Application,Error,2025-11-14 09:37:48.500000000
PausingBindingUntilAfterCheckin.244.ThreatLockerService;Service Failed to bind on previous start,0,ThreatLockerService,Application,HC1DBSQ57PV,2025-11-14 21:01:37,Application,Error,2025-11-14 09:37:48.500000000
An error occurred while using SSL configuration for endpoint 0.0.0.0:5986.  The error status code is contained within the returned data.,15021,Microsoft-Windows-HttpEvent,System,HC1DBSQ70PV,2025-11-14 22:38:31,System,Error,2025-11-14 09:37:48.500000000
Installation Failure: Windows failed to install the following update with error 0x8024001E: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.439.434.0) - Current Channel (Broad).,20,Microsoft-Windows-WindowsUpdateClient,System,HC1DBSQ57PV,2025-11-14 03:21:01,System,Error,2025-11-14 09:37:48.503000000
Encryption is required to connect to this server but the client library does not support encryption; the connection has been closed. Please upgrade your client library. [CLIENT: 10.13.5.201],17835,MSSQLSERVER,Application,HC1DBSQ54PV,2025-11-14 12:20:40,Application,Error,2025-11-14 09:37:48.503000000
Current server is unaccessible switching to a failover host; current='hc1siem20p.thecarlylegroup.local' failover='dr1siem22p.thecarlylegroup.local',206,syslog-ng Agent,Application,LX1APDS01PV,2025-11-14 14:24:51,Application,Warning,2025-11-14 09:37:48.503000000
An TLS 1.2 connection request was received from a remote client application but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.,36874,Schannel,System,HC1DBSQ53PV,2025-11-14 20:52:54,System,Error,2025-11-14 09:37:48.503000000
The certificate received from the remote server does not contain the expected name. It is therefore not possible to determine whether we are connecting to the correct server. The server name we were expecting is awsdbsq48pv. The TLS connection request has failed. The attached data contains the server certificate.,36884,Schannel,System,AWSDBSQ48PV,2025-11-14 22:17:45,System,Error,2025-11-14 09:37:48.507000000
The device \Device\Harddisk9\DR9 is not ready for access yet.,15,disk,System,HC1DBSQ60PV1,2025-11-14 19:49:50,System,Error,2025-11-14 09:37:48.507000000
Encryption is required to connect to this server but the client library does not support encryption; the connection has been closed. Please upgrade your client library. [CLIENT: 10.13.5.44],17835,MSSQLSERVER,Application,HC1DBSQ60PV,2025-11-14 12:20:42,Application,Error,2025-11-14 09:37:48.507000000
Microsoft Windows Server has detected that NTLM authentication is presently being used between clients and this server. This event occurs once per boot of the server on the first time a client uses NTLM with this server. NTLM is a weaker authentication mechanism. Please check:       Which applications are using NTLM authentication?      Are there configuration issues preventing the use of stronger authentication such as Kerberos authentication?      If NTLM must be supported is Extended Protection configured? Details on how to complete these checks can be found at http://go.microsoft.com/fwlink/?LinkId=225699.,6038,LsaSrv,System,HC1DBSQ39PV,2025-11-14 05:20:34,System,Warning,2025-11-14 09:37:48.507000000
An TLS 1.2 connection request was received from a remote client application but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.,36874,Schannel,System,HC1DBSQ70PV,2025-11-14 19:03:04,System,Error,2025-11-14 09:37:48.507000000
The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID {21B896BF-008D-4D01-A27B-26061B960DD7} and APPID {03E09F3B-DCE4-44FE-A9CF-82D050827E1C} to the user LX1APDS02PV\Migrationadmin SID (S-1-5-21-324961657-632912395-1552108596-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.,10016,Microsoft-Windows-DistributedCOM,System,LX1APDS02PV,2025-11-14 13:50:23,System,Warning,2025-11-14 09:37:48.510000000
SQLVDI: Loc=TriggerAbort. Desc=invoked. ErrorCode=(0). Process=5380. Thread=9648. Server. Instance=MSSQLSERVER. VD=Global\VNBU0-2892-14176-1760445144_SQLVDIMemoryName_0. ,1,SQLVDI,Application,LD5AIDBSQ01PV,2025-11-14 22:43:21,Application,Error,2025-11-14 09:37:48.510000000
A provider PolicyAgentInstanceProvider has been registered in the Windows Management Instrumentation namespace ROOT\ccm\Policy\S_1_5_21_515967899_1580436667_839522115_20222 to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.,63,Microsoft-Windows-WMI,Application,HC1DBSQ62PV,2025-11-14 13:36:51,Application,Warning,2025-11-14 09:37:48.510000000
Error opening event log file State. Log will not be processed. Return code from OpenEventLog is 87.,3007,EvntAgnt,Application,HC1DBSQ27PV,2025-11-14 03:07:19,Application,Warning,2025-11-14 09:37:48.510000000
The Security System has detected a downgrade attempt when contacting the 3-part SPN  LDAP/HC1DCRT3PV.TCG.com/TCG.com@TCG.COM  with error code "The referenced account is currently disabled and may not be logged on to. (0xc0000072)". Authentication was denied.,6038,LsaSrv,System,HC1DBSQ27PV,2025-11-14 03:07:56,System,Warning,2025-11-14 09:37:48.513000000
Microsoft Windows Server has detected that NTLM authentication is presently being used between clients and this server. This event occurs once per boot of the server on the first time a client uses NTLM with this server. NTLM is a weaker authentication mechanism. Please check:       Which applications are using NTLM authentication?      Are there configuration issues preventing the use of stronger authentication such as Kerberos authentication?      If NTLM must be supported is Extended Protection configured? Details on how to complete these checks can be found at http://go.microsoft.com/fwlink/?LinkId=225699.,6038,LsaSrv,System,LX1APDS01PV,2025-11-14 15:32:06,System,Warning,2025-11-14 09:37:48.513000000
Current server is unaccessible switching to a failover host; current='hc1siem20p.thecarlylegroup.local' failover='dr1siem22p.thecarlylegroup.local',206,syslog-ng Agent,Application,HC1DBSQ35PV,2025-11-14 00:09:20,Application,Warning,2025-11-14 09:37:48.513000000
The WinRM service is not listening for WS-Management requests.  User Action  If you did not intentionally stop the service use the following command to see the WinRM configuration:  winrm enumerate winrm/config/listener,10149,Microsoft-Windows-WinRM,System,HC1DBSQ60PV,2025-11-14 12:30:54,System,Warning,2025-11-14 09:37:48.513000000
Report Server PowerBI,137,Report Server (SSRS),Application,HC1DBSQ21PV,2025-11-14 13:14:00,Application,Error,2025-11-14 09:37:48.513000000
Microsoft SSIS Service: Registry setting specifying configuration file does not exist. Attempting to load default config file.,274,SQLISService130,Application,HC1DBSQ39PV,2025-11-14 05:16:57,Application,Warning,2025-11-14 09:37:48.517000000
Windows failed to apply the Group Policy Local Users and Groups settings. Group Policy Local Users and Groups settings might have its own log file. Please click on the "More information" link.,1085,Microsoft-Windows-GroupPolicy,System,HC1DBSQ36Pv,2025-11-14 20:01:26,System,Warning,2025-11-14 09:37:48.517000000
An TLS 1.2 connection request was received from a remote client application but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.,36874,Schannel,System,HC1DBSQ39PV,2025-11-14 12:28:04,System,Error,2025-11-14 09:37:48.517000000
The user 'Network Connect' preference item in the 'Shortcut - LP_NW Connect {75EC8671-EC3C-4964-8D0A-7FE43852231D}' Group Policy Object did not apply because it failed with error code '0x80070002 The system cannot find the file specified.' This error was suppressed.,4098,Group Policy Shortcuts,Application,LX1APDS01PV,2025-11-14 23:58:02,Application,Warning,2025-11-14 09:37:48.520000000
Installation Failure: Windows failed to install the following update with error 0x8024001E: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.439.613.0) - Current Channel (Broad).,20,Microsoft-Windows-WindowsUpdateClient,System,HC1DBSQ21PV,2025-11-14 08:48:25,System,Error,2025-11-14 09:37:48.520000000
